slug,title,net_effect_consensus,median_pay,num_jobs,fable5_commercial_weight,fable5_consumer_weight,fable5_undefined_weight,fable5_rationale,gpt56sol_commercial_weight,gpt56sol_consumer_weight,gpt56sol_undefined_weight,gpt56sol_rationale,grok45_commercial_weight,grok45_consumer_weight,grok45_undefined_weight,grok45_rationale,avg_commercial_weight,avg_consumer_weight,avg_undefined_weight
health-information-technologists-and-medical-registrars,Health information technologists and medical registrars,restructure,67310,41900,0.95,0.0,0.05,"AI coding, abstraction, and registry tools are purchased by hospitals, health systems, and registries as enterprise software; individuals have no reason or ability to buy medical records management services out of pocket.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from healthcare providers, registry operators, and other institutions purchasing enterprise tools for clinical data abstraction, coding, validation, and reporting, with virtually no direct consumer substitution.",1.0,0.0,0.0,"Health information technologists and medical registrars are employed by hospitals, health systems, and institutions that purchase AI coding, abstraction, and registry tools; individuals never hire or pay these professionals out of pocket.",0.9667,0.0,0.0333
industrial-engineers,Industrial engineers,restructure,101140,351100,0.95,0.0,0.05,"Industrial engineers are salaried employees of manufacturers, hospitals, and logistics firms, so AI simulation, optimization, and analytics tools are purchased by employers, with no meaningful consumer market for individuals bypassing industrial engineering services.",0.95,0.0,0.05,"Industrial engineers are primarily employed by organizations that purchase enterprise AI for process analysis, simulation, optimization, and system design, with virtually no direct-to-consumer substitution channel.",1.0,0.0,0.0,"Industrial engineers are employed by firms and institutions to optimize internal processes, factories, supply chains, and systems, so AI tools for analysis, simulation, and optimization are bought by employers with no consumer market for replacing this professional service.",0.9667,0.0,0.0333
marine-engineers-and-naval-architects,Marine engineers and naval architects,restructure,105670,8500,0.95,0.0,0.05,"AI-assisted CAD, generative design, and simulation tools are purchased by shipbuilders, design firms, and defense contractors as enterprise software, and no individual consumer would bypass a naval architect for vessel or offshore platform design.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from shipbuilders, engineering firms, defense contractors, and maritime organizations purchasing AI-enabled CAD, simulation, and generative-design tools, with virtually no direct consumer substitution.",1.0,0.0,0.0,"Marine engineers and naval architects work for shipyards, defense contractors, offshore firms, and engineering organizations that purchase AI CAD, generative design, and simulation tools; individuals do not buy these tools to bypass professionals for ship or platform design.",0.9667,0.0,0.0333
aerospace-engineers,Aerospace engineers,restructure,134830,71600,0.95,0.0,0.05,"Aerospace engineers are employed by corporations and government contractors who purchase AI-enhanced CAD, simulation, and design tools; individuals do not hire aerospace engineers out of pocket, so there is no meaningful consumer bypass channel.",0.95,0.0,0.05,"Aerospace engineers are overwhelmingly disrupted by employer-purchased enterprise design, simulation, optimization, and compliance tools, with virtually no direct-to-consumer substitution and only minor ambiguity from independent consulting contexts.",0.95,0.0,0.05,"Aerospace engineering is performed almost exclusively inside firms, agencies, and contractors that purchase CAD/simulation/AI design tools for their staff; individuals do not buy AI to replace aerospace engineers as a consumer service.",0.95,0.0,0.05
architectural-and-engineering-managers,Architectural and engineering managers,restructure,167740,212500,0.95,0.0,0.05,"Architectural and engineering managers are salaried employees whose planning, budgeting, and oversight work is augmented by AI tools (generative design, scheduling, predictive analytics) purchased by their employing firms, with no meaningful path for individual consumers to bypass this managerial function directly.",0.95,0.0,0.05,"AI disruption primarily comes from architecture, engineering, construction, and manufacturing employers purchasing enterprise tools for project planning, budgeting, scheduling, technical review, and reporting, with virtually no direct consumer substitution for these internal management roles.",0.95,0.0,0.05,"AI tools for planning, budgeting, scheduling, generative design, and reporting are bought by architecture/engineering firms and corporations to restructure manager roles; individuals do not purchase or bypass these organizational leadership positions as a consumer service.",0.95,0.0,0.05
biomedical-engineers,Bioengineers and biomedical engineers,restructure,106950,22200,0.95,0.0,0.05,"AI design, simulation, and research tools are purchased by medical device companies, biotech firms, hospitals, and research institutions employing these engineers; individuals cannot bypass biomedical engineering services directly.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from biomedical companies, research institutions, hospitals, and other employers purchasing design, simulation, analysis, and documentation tools, with virtually no direct consumer substitution for professional bioengineering services.",0.95,0.0,0.05,"AI tools for modeling, generative design, simulation, and analysis that restructure biomedical engineering work are bought by employers (biotech firms, device makers, hospitals, research labs), with essentially no consumer pathway for individuals to bypass these professionals.",0.95,0.0,0.05
computer-network-architects,Computer network architects,restructure,130390,179200,0.95,0.0,0.05,"Network architects are salaried enterprise employees whose AI-assisted design, AIOps, and configuration tools are purchased by employers, with no meaningful consumer market for individuals bypassing network architecture services.",0.95,0.0,0.05,"Network architects primarily work for organizations that purchase enterprise AIOps, network automation, simulation, and configuration tools, with virtually no direct-to-consumer substitution for their services.",0.95,0.0,0.05,"Network architecture is almost exclusively an enterprise/organizational function, so AI tools for design, configuration, traffic analysis, and automation are purchased by employers rather than by individual consumers who never hire network architects for personal use.",0.95,0.0,0.05
database-administrators,Database administrators and architects,restructure,123100,144900,0.95,0.0,0.05,"Database administration is an enterprise function disrupted by employer-purchased tools like autonomous cloud databases, AI copilots, and managed database services; individuals do not hire DBAs personally, so there is no meaningful consumer channel.",0.95,0.0,0.05,"Database administration and architecture are overwhelmingly employer-facing functions disrupted by enterprise AI copilots, autonomous databases, managed cloud platforms, and infrastructure automation, with virtually no direct consumer substitution.",0.95,0.0,0.05,"DBA and architect work is almost exclusively performed for employers and organizations that purchase AI copilots, autonomous cloud databases, and managed services, with virtually no consumer market of individuals hiring or bypassing personal DBA services.",0.95,0.0,0.05
epidemiologists,Epidemiologists,restructure,83980,12300,0.95,0.0,0.05,"Epidemiologists are employed by government agencies, hospitals, and research institutions that purchase AI analytics, surveillance, and writing tools; individuals do not hire epidemiologists directly, so there is no meaningful consumer bypass channel.",0.95,0.0,0.05,"Epidemiologists are primarily employed by governments, universities, hospitals, and research organizations that purchase AI analytics and surveillance tools, while individuals rarely hire or directly replace epidemiologists.",0.95,0.0,0.05,"Epidemiologists work almost exclusively for government agencies, hospitals, universities, and research institutions that purchase AI tools for analysis, modeling, surveillance, and reporting, with no meaningful consumer market for individuals to bypass them.",0.95,0.0,0.05
financial-managers,Financial managers,restructure,161700,868600,0.95,0.0,0.05,"Financial managers work inside organizations, so disruption comes from employers purchasing AI for reporting, forecasting, and compliance; individuals do not personally hire financial managers, leaving no meaningful consumer channel.",0.95,0.0,0.05,"Financial managers are overwhelmingly employed within organizations that purchase enterprise AI for reporting, forecasting, compliance, and decision support, with virtually no direct-to-consumer substitution because individuals rarely hire financial managers personally.",0.95,0.0,0.05,"Financial managers are almost exclusively employed inside organizations that purchase AI for reporting, forecasting, compliance, and FP&A, so disruption is monetized commercially with negligible direct consumer substitution for this corporate role.",0.95,0.0,0.05
logisticians,Logisticians,restructure,80880,241000,0.95,0.0,0.05,"Logisticians are employed by firms whose supply-chain AI, forecasting, and optimization platforms are purchased at the enterprise level; individuals have no consumer-facing logistics service to bypass.",0.95,0.0,0.05,"Logisticians are primarily employed by organizations that purchase enterprise supply-chain, forecasting, inventory, and route-optimization AI, with virtually no direct consumer substitution channel.",0.95,0.0,0.05,"Logisticians are almost exclusively employed by firms to handle supply-chain forecasting, inventory, and optimization, so AI disruption is monetized via employer-purchased enterprise tools with negligible direct consumer replacement of the role.",0.95,0.0,0.05
sales-engineers,Sales engineers,restructure,121520,56800,0.95,0.0,0.05,"Sales engineers are employed by B2B vendors whose employers buy AI tools for proposals, demos, and RFP responses, and even buyer-side self-service AI is procured by business customers rather than individual consumers, leaving essentially no consumer channel.",0.95,0.0,0.05,"Sales engineers primarily use employer-purchased enterprise AI for proposals, product configuration, research, demonstrations, and technical support, while individual consumers rarely hire or replace them directly.",0.95,0.0,0.05,"Sales engineers are B2B roles inside vendor organizations, so AI tools that automate presentations, RFPs, demos, and configuration are bought by employers; individuals never hire or pay out-of-pocket for sales engineers.",0.95,0.0,0.05
training-and-development-managers,Training and development managers,restructure,127090,46400,0.9,0.05,0.05,"Training and development managers work inside organizations, so disruption comes almost entirely from employers buying AI learning platforms, content-generation tools, and analytics; only a marginal effect comes from individuals self-training with consumer AI instead of relying on employer programs.",0.95,0.0,0.05,"Training and development managers work primarily within organizations, so disruption will overwhelmingly come from employers purchasing AI learning platforms, content-generation tools, and workforce analytics, with only minor ambiguity from independent consultants or self-directed learning contexts.",1.0,0.0,0.0,"Training and development managers are internal organizational roles whose AI tools (learning platforms, content generators, analytics) are purchased by employers to restructure corporate L&D functions, with no consumer market for individuals to bypass hiring them.",0.95,0.0167,0.0333
physicists-and-astronomers,Physicists and astronomers,restructure,166290,26400,0.9,0.0,0.1,"AI research assistants, simulation, and analysis tools are procured by universities, national labs, and R&D employers rather than by individual scientists, and no consumer bypasses a physicist's services, with slight ambiguity from grant-funded researchers who may personally adopt tools.",0.95,0.0,0.05,"AI disruption will overwhelmingly come through universities, government laboratories, observatories, and industrial R&D employers purchasing research, modeling, simulation, and data-analysis tools, with virtually no direct consumer substitution for physicists or astronomers.",0.95,0.0,0.05,"Physicists and astronomers work almost exclusively in universities, labs, government, and firms that buy AI modeling/analysis tools, with no meaningful consumer market for individuals to bypass hiring them.",0.9333,0.0,0.0667
project-management-specialists,Project management specialists,restructure,100750,1046300,0.9,0.0,0.1,"Project managers are employed by organizations, and the AI tools automating scheduling, reporting, and coordination are purchased by employers as enterprise software; individuals do not hire project managers out of pocket, leaving only minor ambiguity around freelance/contract PM contexts.",0.95,0.0,0.05,"Project management specialists are primarily disrupted by employer-purchased enterprise tools that automate organizational planning, tracking, reporting, and coordination, with only minor ambiguity from independent consultants or prosumer use.",0.95,0.05,0.0,"Project management specialists almost exclusively work inside organizations that buy AI tools for scheduling, reporting, risk tracking and coordination, while individuals rarely hire PMs out-of-pocket for services that consumer AI could fully bypass.",0.9333,0.0167,0.05
technical-writers,Technical writers,restructure,91670,56400,0.95,0.0,0.05,"Technical writers are employed by companies to document products, and the disrupting AI tools (LLMs drafting documentation from specs and code) are purchased by those employers; individuals do not hire technical writers out of pocket, so there is no meaningful consumer bypass channel.",0.95,0.0,0.05,"Technical writers are predominantly employed or contracted by organizations that purchase AI documentation and content-management tools, while direct consumer substitution for their services is negligible.",0.9,0.05,0.05,"Technical writers are almost entirely employed by product companies that buy AI documentation tools to draft and maintain manuals, so disruption is employer-purchased; only a thin edge case exists of individuals or tiny teams using consumer AI instead of hiring a freelance writer.",0.9333,0.0167,0.05
cartographers-and-photogrammetrists,Cartographers and photogrammetrists,restructure,78380,13400,0.9,0.0,0.1,"Cartographers work for governments, engineering firms, and mapping companies that purchase geospatial AI and automated feature-extraction tools; individuals never hire cartographers directly, and free big-tech mapping platforms are a platform dynamic rather than clean consumer monetization, leaving a small undefined share.",0.95,0.0,0.05,"Geospatial AI, GIS automation, and photogrammetry systems are overwhelmingly purchased by governments, engineering firms, mapping companies, and other organizations, with little direct consumer substitution for these specialized professionals.",0.9,0.05,0.05,"AI tools for feature extraction, photogrammetry, and GIS mapping are bought by government agencies, engineering firms, and tech platforms that employ cartographers, while individuals rarely hire these specialists out-of-pocket to replace with consumer AI.",0.9167,0.0167,0.0667
economists,Economists,restructure,115440,17600,0.9,0.0,0.1,"Economists work almost exclusively for government agencies, financial institutions, and consulting firms that would purchase AI forecasting and analysis tools institutionally; individuals do not personally hire economists, so there is no meaningful consumer bypass channel, with slight ambiguity around small businesses substituting AI for outsourced economic consulting.",0.95,0.0,0.05,"Economists are overwhelmingly employed by governments, research institutions, consultancies, and businesses that purchase AI tools to augment analysis, while individuals rarely hire and replace economists directly.",0.9,0.05,0.05,"Economists work almost entirely inside governments, firms, banks, and consultancies that buy AI modeling and analysis tools for their staff, while direct consumer purchases of personal economist services are rare and only marginally replaceable by AI.",0.9167,0.0167,0.0667
fundraisers,Fundraisers,restructure,66490,134400,0.9,0.0,0.1,"Nonprofits and institutions purchase AI tools for donor research, appeal drafting, and campaign automation to augment or reduce fundraising staff, while individuals have no consumer-side reason to buy AI to replace a fundraiser's service.",0.95,0.0,0.05,"Fundraising AI is overwhelmingly purchased by nonprofits and other organizations to augment employed development staff, with slight ambiguity for independent fundraisers or volunteers using general-purpose tools.",0.9,0.05,0.05,"AI tools for donor research, appeal drafting, grant writing, and campaign optimization are bought by nonprofits and institutions that employ fundraisers, while direct consumer bypass of professional fundraisers is rare and limited to edge cases like personal crowdfunding.",0.9167,0.0167,0.0667
instructional-coordinators,Instructional coordinators,restructure,74720,232600,0.9,0.0,0.1,"Instructional coordinators are employed by school districts and institutions, so AI curriculum-design and data-analysis tools would be purchased by those employers; individuals do not hire coordinators out of pocket, leaving no meaningful consumer channel, with slight ambiguity from teachers independently using free AI tools to self-serve curriculum needs.",0.95,0.0,0.05,"Instructional coordinators are primarily employed by school districts and educational institutions, so disruption will overwhelmingly come from employer-purchased AI tools for curriculum development, data analysis, and staff training rather than individuals bypassing their services.",0.9,0.05,0.05,"Instructional coordinators are institutional roles almost entirely employed by school districts and educational organizations, so AI tools for curriculum drafting, data analysis, and training materials are purchased by employers, with only marginal consumer substitution via individual teachers or homeschoolers.",0.9167,0.0167,0.0667
market-research-analysts,Market research analysts,restructure,76950,941700,0.9,0.0,0.1,"Market research is consumed by businesses, so disruption comes from employers and firms buying AI analytics/LLM tools (or small businesses using AI instead of hiring research firms), with no meaningful individual-consumer channel and slight ambiguity around solo entrepreneurs using general-purpose AI subscriptions.",0.95,0.0,0.05,"Market research analysts primarily serve businesses and institutions, so disruption overwhelmingly comes from employers purchasing AI analytics, survey, forecasting, and reporting tools, with only minor ambiguity from independent consultants or prosumer use.",0.9,0.05,0.05,"Market research is overwhelmingly a B2B function where employers and organizations buy AI analytics, survey, and reporting tools to restructure analyst work, with only marginal consumer substitution by solopreneurs or individuals bypassing paid research services.",0.9167,0.0167,0.0667
public-relations-managers,Public relations and fundraising managers,restructure,132870,128900,0.9,0.0,0.1,"AI tools for press releases, donor analytics, grant drafting, and media monitoring are purchased by employers (companies, nonprofits, agencies) rather than by individuals, with a small undefined share for small organizations DIY-ing outreach instead of hiring PR/fundraising professionals at all.",0.95,0.0,0.05,"PR and fundraising managers are primarily disrupted by organizations purchasing AI tools to automate or augment communications, donor analysis, campaign content, and reporting, with negligible direct consumer substitution.",0.9,0.05,0.05,"PR and fundraising managers work inside organizations, so AI tools for press releases, donor research, grant drafting, and campaign content are bought by employers/nonprofits; direct consumer bypass of these managerial roles is rare and limited to niche personal branding or DIY fundraising.",0.9167,0.0167,0.0667
sociologists,Sociologists,restructure,101690,3400,0.9,0.0,0.1,"Sociologists are employed by universities, government agencies, and research organizations that purchase AI research and analysis tools institutionally, and individuals do not hire sociologists out of pocket, leaving no consumer bypass channel; slight ambiguity remains around grant-funded independent researchers.",0.95,0.0,0.05,"Sociologists work primarily for universities, governments, nonprofits, and businesses that purchase AI research and analysis tools, while individuals rarely hire and bypass sociologists directly.",0.9,0.0,0.1,"Sociologists work almost exclusively for universities, government agencies, nonprofits, and research organizations that purchase AI analysis tools, with no meaningful consumer market of individuals hiring sociologists out of pocket.",0.9167,0.0,0.0833
actors,Actors,restructure,48526,57000,0.85,0.05,0.1,"AI disruption to actors comes overwhelmingly from studios, production companies, ad agencies, and game developers purchasing generative video/voice synthesis tools to replace hired performers, with only marginal consumer-side displacement from individuals generating their own entertainment content.",0.9,0.05,0.05,"Most disruption comes from studios, production companies, game developers, and advertisers using synthetic performers, with only limited direct consumer substitution through personal AI content creation.",0.9,0.05,0.05,"AI disruption of actors is monetized almost entirely when studios, production companies, ad agencies, and game studios buy generative video/voice/likeness tools to reduce casting of human performers, while individuals almost never hire actors out-of-pocket so consumer bypass is negligible.",0.8833,0.05,0.0667
atmospheric-scientists-including-meteorologists,"Atmospheric scientists, including meteorologists",restructure,97450,9400,0.85,0.0,0.15,"Meteorologists are employed by government agencies, media, and private firms that deploy AI forecasting models institutionally; individuals never paid meteorologists out of pocket (forecasts are free public goods), though budget-constrained government adoption dynamics don't map perfectly to a market purchase, leaving some ambiguity.",0.9,0.05,0.05,"AI weather models and analytics will primarily be procured or developed by government agencies, research institutions, and weather-dependent businesses, while direct consumer tools play only a minor role because individuals already receive most general forecasts without hiring meteorologists.",0.9,0.05,0.05,"AI weather models and forecasting tools are almost exclusively adopted by government agencies, media, and private employers of meteorologists rather than purchased by individuals to bypass paid professional services.",0.8833,0.0333,0.0833
computer-programmers,Computer programmers,restructure,98670,121200,0.85,0.1,0.05,"Disruption is driven overwhelmingly by employers purchasing AI coding assistants (Copilot, enterprise LLM tools) for their development teams, with a small consumer channel from individuals and small businesses using AI to build software instead of hiring freelance programmers.",0.95,0.0,0.05,"AI coding assistants and autonomous development tools are overwhelmingly purchased or deployed by employers to automate or augment programmers' work, with minimal direct consumer substitution for professional programming services.",0.85,0.1,0.05,"AI coding assistants (Copilot, etc.) are overwhelmingly purchased by employers to restructure or reduce pure programmer headcount, with only a modest consumer channel where individuals or small buyers use AI to bypass hiring freelancers for simple code.",0.8833,0.0667,0.05
management-analysts,Management analysts,restructure,101190,1075100,0.9,0.0,0.1,"Consulting firms buy AI to augment analysts while client organizations buy AI to bypass consultants entirely—both are business purchases; individuals do not personally hire management analysts, leaving no consumer channel, with slight ambiguity around sole proprietors using general-purpose AI subscriptions.",0.9,0.05,0.05,"Management analysts primarily serve organizations, so disruption will overwhelmingly come from employers and consulting firms purchasing AI tools, with only limited direct consumer substitution and minor ambiguity for independent advisory contexts.",0.85,0.05,0.1,"Management analysts almost exclusively serve organizations, so AI disruption is monetized when consulting firms or client companies purchase analysis/strategy tools for augmentation or self-service, with only marginal individual small-business use and minor ambiguity around pure client-side bypass.",0.8833,0.0333,0.0833
set-and-exhibit-designers,Set and exhibit designers,restructure,66280,31300,0.9,0.0,0.1,"Set and exhibit design services are purchased by production companies, theaters, museums, and event organizers—not individuals—so AI visualization and CAD tools are adopted institutionally, with slight ambiguity only around freelance designers buying their own tools.",0.85,0.05,0.1,"Most disruption will come from production companies, museums, exhibit firms, and other organizations adopting AI design tools, with limited direct consumer substitution and some ambiguity from freelancers purchasing their own tools.",0.9,0.05,0.05,"AI visualization, CAD, and generative design tools that disrupt set and exhibit designers are bought by theaters, studios, museums, and event firms to restructure design workflows, while ordinary individuals almost never hire or personally replace these specialists.",0.8833,0.0333,0.0833
financial-analysts,Financial analysts,restructure,101910,429000,0.85,0.1,0.05,"Financial analysts are overwhelmingly employed by banks, asset managers, and corporations that purchase AI analysis and modeling tools institutionally, with a small consumer share from retail investors using AI instead of professionally produced research or advice.",0.9,0.05,0.05,"Most disruption will come from financial institutions and corporate finance departments purchasing AI analysis tools, while a small share comes from individual investors using consumer AI to bypass professional research.",0.85,0.1,0.05,"Financial analysts are almost entirely employed by banks, funds, and corporations that purchase AI modeling, screening, and report tools, while only a small share of disruption comes from retail investors using consumer AI apps in place of paid research or advice.",0.8667,0.0833,0.05
industrial-designers,Industrial designers,restructure,79450,30600,0.85,0.05,0.1,"AI-assisted CAD, generative design, and rendering tools are procured by manufacturers, design firms, and startups rather than individuals, and industrial design is rarely a service consumers purchase out of pocket, leaving only marginal consumer bypass via hobbyist/maker use of AI design tools.",0.9,0.05,0.05,"Industrial designers are primarily disrupted by employers and design firms purchasing AI-assisted CAD, rendering, simulation, and generative-design tools, with only limited direct consumer substitution.",0.85,0.1,0.05,"AI design/CAD/generative tools are bought by manufacturers, design firms, and employers to restructure industrial design workflows, while direct consumer bypass of hiring industrial designers is limited and rare.",0.8667,0.0667,0.0667
public-relations-specialists,Public relations specialists,restructure,69780,315900,0.8,0.15,0.05,"PR disruption primarily comes from companies and agencies adopting AI writing/monitoring tools that reduce staffing needs, with a smaller consumer channel from individuals and personal brands using AI directly instead of hiring PR professionals.",0.9,0.05,0.05,"PR specialists primarily work for organizations or agencies that purchase AI writing, monitoring, and analytics tools, while a small consumer channel exists where individuals and personal brands use AI instead of hiring PR professionals.",0.85,0.1,0.05,"PR specialists are overwhelmingly employed by organizations or agencies that will purchase AI writing/monitoring tools, while only a modest share of disruption comes from individuals (personal brands, influencers) using AI to bypass hiring PR help, with residual ambiguity around hybrid freelance/agency contexts.",0.85,0.1,0.05
architects,Architects,restructure,96690,123600,0.8,0.15,0.05,"AI disruption flows mainly through architecture firms and developers purchasing generative design and BIM automation tools, while a smaller consumer channel exists where homeowners use AI for small renovations or custom home designs to bypass architects entirely—though licensing and stamp requirements limit full consumer substitution.",0.85,0.1,0.05,"Most disruption will come from architecture, engineering, construction, and real-estate firms buying AI-enabled BIM and design tools, while a smaller share will involve homeowners using consumer AI to bypass architects on simple projects.",0.8,0.15,0.05,"Architecture firms and employers primarily purchase generative design, BIM, and drafting AI to restructure production work, while limited consumer DIY home-design tools enable some bypass of residential architects and licensing/liability constraints leave only minor ambiguity for corporate clients.",0.8167,0.1333,0.05
fashion-designers,Fashion designers,restructure,80690,25700,0.85,0.05,0.1,"Fashion designers overwhelmingly work for apparel firms and brands that would purchase generative design, CAD, and virtual prototyping tools, while direct consumer bypass (individuals AI-designing custom garments instead of buying designed apparel) remains marginal, with slight ambiguity around freelance designers and micro-brand founders buying tools themselves.",0.85,0.05,0.1,"Most disruption comes from apparel brands and design firms purchasing AI-enabled CAD, trend forecasting, and prototyping tools, while limited consumer bypass and independent designer use create small consumer and ambiguous shares.",0.75,0.15,0.1,"Fashion design AI tools (generative sketching, CAD, virtual prototyping) are primarily purchased by apparel brands and design firms to restructure employed designers' workflows, with a smaller consumer channel of individuals and micro-brands using generative tools to bypass hiring professionals.",0.8167,0.0833,0.1
interpreters-and-translators,Interpreters and translators,restructure,59440,75300,0.75,0.15,0.1,"Most paid translation and interpreting demand comes from businesses, courts, hospitals, and localization buyers who now adopt machine translation and AI interpreting tools directly, while a smaller share involves individuals using free/consumer translation apps instead of hiring a professional for personal documents or travel.",0.7,0.25,0.05,"Most disruption comes from businesses, language-service firms, and institutions adopting machine translation and interpreting systems, while a meaningful minority comes from individuals using consumer AI translation directly instead of hiring professionals.",0.8,0.1,0.1,"Most professional translation and interpreting volume is commissioned by businesses, governments, hospitals, courts, and publishers that purchase enterprise MT/speech tools or AI localization platforms, while true consumer bypass (individuals paying for AI instead of hiring a translator for personal documents or travel) is a small residual market, with residual ambiguity around freelancers and hybrid high-stakes niches.",0.75,0.1667,0.0833
accountants-and-auditors,Accountants and auditors,restructure,81680,1579800,0.7,0.25,0.05,"Most disruption comes from accounting firms and corporate finance departments purchasing AI tools for reconciliation, audit, and tax prep, while a meaningful minority stems from individuals and small business owners using AI to self-file taxes and do bookkeeping instead of hiring an accountant.",0.8,0.15,0.05,"Most disruption comes from employers and accounting firms deploying AI for bookkeeping, reconciliation, tax, and audit workflows, while a smaller share comes from individuals using AI to bypass tax preparers or personal accountants.",0.7,0.25,0.05,"Most disruption is commercial as accounting firms and corporations buy AI for reconciliation, tax prep, audit testing and reporting that restructures their staff, while a meaningful consumer share comes from individuals and small businesses using AI tax/bookkeeping tools to bypass hiring professionals.",0.7333,0.2167,0.05
editors,Editors,restructure,75260,115800,0.65,0.25,0.1,"Most editors work for publishers, media companies, and content firms that purchase AI editing tools to reduce staff needs, but a meaningful share of disruption comes from self-published authors and individual writers using AI directly instead of hiring freelance editors.",0.7,0.25,0.05,"Most disruption comes from publishers, media firms, and corporate content teams deploying AI to reduce routine editing work, while authors and other individuals also use consumer AI tools to bypass freelance editors.",0.6,0.3,0.1,"Most editors are employed by publishers, media firms, and corporations that will buy AI tools to restructure staff roles around judgment and oversight, while a substantial share of disruption also comes from self-published authors, freelancers, and small content creators using consumer AI to skip professional editors entirely.",0.65,0.2667,0.0833
graphic-designers,Graphic designers,restructure,61300,265900,0.6,0.25,0.15,"Most disruption comes from agencies, marketing teams, and companies buying generative design tools (Adobe Firefly, Canva enterprise) to boost or replace in-house designers, while a meaningful share comes from individuals and sole proprietors self-serving with cheap AI design apps instead of hiring freelancers; small-business self-service sits ambiguously between the two channels.",0.75,0.2,0.05,"Most disruption comes from employers and businesses adopting AI design tools to automate production, while a smaller share comes from individuals using self-service tools instead of hiring freelance designers.",0.4,0.5,0.1,"Disruption arises from employers purchasing AI design tools that restructure in-house and agency designer roles as well as from individuals and small businesses using consumer generative AI to self-serve and bypass professional designers for logos, marketing assets, and layouts.",0.5833,0.3167,0.1
interior-designers,Interior designers,restructure,63490,87100,0.45,0.45,0.1,"Design firms buy generative visualization and CAD/BIM AI tools to accelerate output (commercial), while a comparable share of disruption comes from homeowners using AI room-design tools directly to skip hiring a designer entirely (consumer), with some ambiguity around freelancers and hybrid retail-embedded design services.",0.5,0.4,0.1,"Most disruption comes from design firms and other organizations adopting AI for visualization, drafting, and planning, while a substantial share comes from homeowners using consumer AI design tools to bypass professional designers, with some ambiguity around freelancers and hybrid platforms.",0.5,0.4,0.1,"Design firms buy generative design, CAD/BIM, and visualization AI that restructures professional workflows (commercial), while homeowners and small clients use consumer AI apps for room designs and mood boards to bypass hiring designers (consumer), with residual ambiguity for self-employed designers purchasing their own tools.",0.4833,0.4167,0.1
personal-financial-advisors,Personal financial advisors,restructure,102140,326000,0.4,0.5,0.1,"Much of the disruption comes from individuals bypassing advisors via robo-advisors and LLM planning tools they use directly, while wealth management firms also buy AI to let advisors serve larger client books, with some ambiguity in hybrid platforms that blend both channels.",0.55,0.4,0.05,"Most disruption comes from advisory firms deploying AI to automate analysis and expand advisor capacity, while a substantial share comes from consumers bypassing advisors through robo-advisors and direct-to-consumer planning tools.",0.5,0.4,0.1,"Firms and wealth platforms buy AI/robo tools that automate analysis and restructure advisor roles (commercial), while individuals increasingly use standalone robo-advisors and LLMs to bypass human advisors entirely (consumer), with residual ambiguity for self-employed advisors purchasing tools themselves.",0.4833,0.4333,0.0833
credit-counselors,Credit counselors,restructure,50480,31800,0.4,0.5,0.1,"Much disruption comes from individuals using free or cheap AI budgeting and debt-planning tools instead of seeking a counselor, while nonprofit agencies, lenders, and financial aid offices also adopt AI to automate intake, analysis, and plan drafting, with some ambiguity since many counseling services are already free to the client.",0.5,0.45,0.05,"Employers such as nonprofit counseling agencies and financial institutions will buy AI to automate routine counseling workflows, while consumer budgeting and debt-advice apps will also let many individuals bypass counselors directly.",0.5,0.4,0.1,"Counseling agencies, colleges, and banks buy AI analysis/planning tools to restructure staff roles (commercial), while individuals adopt consumer finance apps and chatbots to self-manage budgets and debt plans instead of seeking counselors (consumer), with residual ambiguity around free nonprofit services that are not paid out-of-pocket.",0.4667,0.45,0.0833
computer-and-information-systems-managers,Computer and information systems managers,augment,171200,667100,0.95,0.0,0.05,"IT managers work within organizations, and the AI tools augmenting or restructuring their planning, budgeting, and oversight functions are enterprise software purchased by employers, with no meaningful path for individuals to buy AI in place of hiring an IT manager.",0.95,0.0,0.05,"AI disruption primarily comes from organizations purchasing enterprise tools for IT planning, monitoring, governance, budgeting, and decision support, with virtually no direct consumer substitution for this internal management role.",1.0,0.0,0.0,"AI tools that augment analysis, planning, monitoring, and decision support for computer and information systems managers are purchased by employers and organizations, with no consumer channel for individuals to replace this managerial role.",0.9667,0.0,0.0333
agricultural-and-food-scientists,Agricultural and food scientists,augment,78770,38700,0.95,0.0,0.05,"Agricultural and food scientists are employed by agribusinesses, food companies, universities, and government agencies that purchase AI research tools (genomics, crop modeling, data analysis platforms), and individuals do not hire these scientists directly, leaving no meaningful consumer channel.",0.95,0.0,0.05,"AI disruption is overwhelmingly commercial because agricultural and food scientists primarily use employer-provided research, modeling, genomics, analytics, and documentation tools, while consumers rarely hire or replace these scientists directly.",0.95,0.0,0.05,"AI tools for genomics, crop modeling, data analysis, and literature synthesis are purchased by employers such as agribusiness firms, food companies, universities, and government labs to augment scientists' work, with virtually no direct consumer market for replacing these specialized research services.",0.95,0.0,0.05
